gene_name,bio_process,mol_func,syst_id,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
RPL8B,protein biosynthesis,structural constituent of ribosome,YLL045C,-0.72,-0.66,-0.55,-0.26,-0.11,-0.07,-0.98,-0.86,-0.99,-0.87,-0.57,0.06,-1.25,-1.18,-0.7,-0.63,-0.06,-0.03,-0.58,-0.8,-0.59,-0.52,-0.43,-0.28,-0.77,-0.54,-0.46,-0.36,-0.14,-0.21,-1.52,-0.42,-0.18,-0.49,-0.22,0.06
PLB2,glycerophospholipid metabolism,lysophospholipase activity,YMR006C,-1.27,-1.4,-0.8,-0.59,-0.23,-0.35,-1.3,-0.98,-1.41,-1.16,-0.67,-0.28,-2.44,-1.91,-1.18,-0.87,-0.34,-0.07,-1.52,-1.17,-1.12,-0.84,-0.89,-0.42,-1.46,-1.18,-0.38,-0.37,-0.38,-0.55,-1.55,-1.21,-0.62,-0.3,-0.18,-0.18
TOM40,mitochondrial matrix protein import,protein transporter activity,YMR203W,-1.03,-1.45,-0.75,-0.08,-0.18,-0.4,-1.06,-0.88,-1.4,-1.21,-1.05,-0.63,-1.72,-1.32,-1.53,-1.29,-0.81,-0.4,-1.47,-1.31,-1.2,-0.77,-0.98,-0.37,-1.62,-1.08,-0.89,-0.62,-0.28,-0.61,-2.09,-0.81,-0.4,-0.68,0.03,0.07
GUP1,glycerol transport*,O-acyltransferase activity,YGL084C,-0.97,-1.13,-0.81,-0.4,-0.36,-0.39,-0.65,-0.65,-1,-0.98,-0.67,-0.42,-0.82,-0.7,-0.79,-0.72,-0.59,-0.41,-1.41,-0.97,-0.86,-0.44,-0.7,-0.2,-0.91,-0.58,-0.38,-0.17,-0.11,-0.34,-1.3,-0.79,-0.68,-0.62,-0.2,0.11
SEC23,ER to Golgi transport*,GTPase activator activity,YPR181C,-1.01,-1.11,-0.8,-0.35,-0.25,-0.48,-0.7,-0.56,-1.12,-1.02,-0.93,-0.52,-0.96,-0.91,-0.83,-0.32,-0.38,0.01,-1.05,-0.55,-0.56,-0.48,-0.82,-0.2,-0.67,-0.77,-0.44,-0.37,-0.18,-0.45,-1.23,-0.79,-0.38,-0.61,-0.19,-0.08
,biological process unknown,molecular function unknown,YBR220C,-1.06,-0.74,-0.68,-0.47,-0.36,-0.19,-0.63,-0.72,-1.36,-1.05,-0.8,-0.2,-1.16,-0.8,-0.62,-0.45,-0.29,0.01,-1.33,-1.12,-1.05,-0.67,-0.63,-0.41,-1.01,-0.85,-0.63,-0.4,-0.1,-0.19,-1.8,-0.88,-0.67,-0.72,-0.63,0.1
ALG12,protein amino acid glycosylation*,"alpha-1,6-mannosyltransferase activity",YNR030W,-0.92,-1.08,-0.69,-0.56,-0.47,-0.48,-1.14,-0.8,-1.03,-0.95,-0.71,-0.45,-0.77,-0.68,-0.43,-0.26,-0.31,0.08,-1.52,-0.81,-0.83,-0.67,-0.8,-0.35,-1.3,-1.01,-0.83,-0.41,-0.19,-0.45,-2.07,-0.86,-0.59,-0.68,-0.24,-0.13
SUR2,sphingolipid biosynthesis*,sphingosine hydroxylase activity,YDR297W,-1.5,-1.4,-1.03,-0.72,-0.13,-0.17,-0.73,-0.55,-1.09,-0.76,-0.68,-0.34,-0.8,-0.88,-0.84,-0.64,-0.29,-0.06,-2.09,-1.32,-1.19,-0.94,-0.84,-0.54,-1.24,-0.87,-0.65,-0.57,-0.42,-0.46,-2.08,-0.73,-0.27,-0.61,-0.31,-0.12
,,,YBL083C,-0.72,-0.62,-0.78,-0.59,-0.26,-0.35,-0.46,-0.22,-1.19,-0.85,-0.71,-0.1,-1.13,-1.01,-1.36,-0.73,-0.63,-0.09,-1.3,-0.79,-0.74,-0.81,-0.9,-0.55,-0.64,-0.59,-0.32,-0.11,0.13,-0.17,-1.26,-0.88,-0.5,-0.39,-0.29,0.07
ALG3,protein amino acid glycosylation*,"alpha-1,3-mannosyltransferase activity",YBL082C,-1,-0.47,-0.91,-0.64,-0.33,-0.47,-0.3,-0.2,-1.18,-0.96,-0.76,-0.07,-1.74,-1.17,-1.43,-0.99,-0.59,-0.5,-1.3,-0.71,-0.71,-0.79,-0.87,-0.62,-0.75,-0.7,-0.46,-0.18,0.19,-0.2,-1.33,-0.85,-0.44,-0.55,-0.33,0.17
SEC61,protein-ER targeting*,protein transporter activity,YLR378C,-0.95,-0.92,-0.62,-0.26,-0.26,-0.27,-0.25,-0.38,-1.51,-0.85,-1.16,-0.4,-1.93,-1.8,-1.27,-0.99,-0.37,-0.14,-0.69,-0.86,-1.02,-0.72,-0.88,-0.4,-0.51,-0.75,-0.36,-0.2,-0.16,-0.17,-1.37,-0.88,-0.43,-0.5,-0.44,-0.18
,biological process unknown,molecular function unknown,YHR198C,-0.3,-0.32,-0.15,0.13,0.26,0.27,-1.01,-0.79,-0.63,-0.49,-0.59,-0.06,-0.59,-0.89,-0.87,-0.82,-0.75,-0.54,-0.85,-1.01,-0.79,-0.61,-0.58,-0.53,-0.35,-0.23,-0.16,-0.03,-0.04,-0.01,-0.71,-0.62,-0.53,-0.29,-0.38,-0.28
,biological process unknown,molecular function unknown,YLR253W,-0.53,-0.48,-0.08,0.29,0.23,0.4,-0.95,-0.83,-0.65,-0.66,-0.49,-0.11,-0.91,-0.88,-0.8,-0.81,-0.56,-0.44,-0.92,-0.68,-0.6,-0.61,-0.42,-0.52,-0.59,-0.34,0.02,-0.12,-0.03,-0.06,-0.99,-0.61,-0.11,-0.18,-0.42,-0.22
,transport,transporter activity,YMR166C,-1.04,-0.75,-0.55,0.03,0.24,0.22,-0.39,-0.46,-1.25,-1.18,-0.8,-0.12,-1.69,-1.19,-1.09,-0.93,-0.61,-0.63,-0.7,-1.13,-1.01,-0.98,-0.91,-0.8,-0.99,-0.73,-0.35,-0.48,-0.23,-0.28,-1.04,-0.94,-0.44,-0.57,-0.58,-0.33
MSY1,tyrosyl-tRNA aminoacylation,tyrosine-tRNA ligase activity,YPL097W,-0.55,-0.58,-0.63,-0.12,0.19,0.3,-1.2,-1,-0.83,-0.67,-0.66,-0.76,-1.5,-1.47,-1.28,-1.54,-0.87,-1.05,-0.55,-1.09,-1.29,-1.32,-0.98,-1.03,-1.13,-0.59,-0.39,-0.42,-0.29,-0.27,-1.28,-1.37,-0.82,-0.85,-0.93,-0.69
EHD3,endocytosis*,3-hydroxyisobutyryl-CoA hydrolase activity,YDR036C,-0.09,-0.24,-0.03,0.36,0.25,0.31,-1.07,-1.17,-1.29,-0.97,-0.96,-0.45,-1.42,-1.4,-1.43,-1.51,-1.16,-1.17,-1.07,-1.12,-0.93,-1.07,-0.88,-1.01,-1.11,-0.95,-0.7,-0.67,-0.55,-0.33,NA,-1.22,-0.92,-0.98,-0.91,-0.5
SHY1,aerobic respiration,unfolded protein binding,YGR112W,-0.12,-0.34,0.05,0.3,0.2,0.26,-0.46,-0.79,-1.3,-1.27,-0.93,-0.71,-1.55,-1.43,-1.32,-1.71,-1.28,-1.7,-0.83,-0.96,-1.18,-1.07,-0.83,-0.81,-0.66,-0.6,-0.3,-0.58,-0.25,-0.32,-1.26,-0.83,-0.43,-0.69,-0.81,-0.51
RML2,protein biosynthesis*,structural constituent of ribosome,YEL050C,-0.75,-0.82,-0.32,0.23,0.22,0.4,-0.81,-1.01,-1.58,-1.12,-0.99,-0.73,-1.69,-1.47,-1.46,-1.78,-1.16,-1.61,-0.48,-1.41,-1.08,-1.14,-0.69,-0.98,-0.87,-0.68,-0.33,-0.31,-0.13,-0.16,-1.13,-1.33,-0.43,-0.32,-0.66,-0.38
SUC2,sucrose catabolism,beta-fructofuranosidase activity,YIL162W,-1.26,-1.51,-0.78,-0.01,0.93,-0.58,-1.48,-1.3,-1.93,-1.95,-1.74,-1.23,-2.9,-2.64,-2.83,-2.65,-2.2,-2.02,-1.92,-1.84,-1.95,-1.48,-1.59,-1.23,-1.26,-0.91,-0.86,-0.7,-0.73,-1.09,-2,-1.05,-1.28,-1.46,-1.27,-0.99
MSS51,protein biosynthesis*,molecular function unknown,YLR203C,-0.57,-0.91,-0.3,0.23,0.19,0.39,-0.45,-0.69,-1.63,-1.66,-1.09,-0.01,-1.28,-1.21,-1.11,-1.1,-0.59,-0.6,-2.03,-1.44,-1.5,-1.1,-1.19,-0.78,-0.83,-0.99,-0.41,-0.55,-0.16,-0.25,-1.59,-0.81,-0.29,-0.68,-0.42,-0.05
MRP4,protein biosynthesis,structural constituent of ribosome*,YHL004W,-1.13,-1.19,-0.62,-0.01,0.18,0.3,-1.49,-1.65,-2.04,-1.78,-1.37,-0.39,-1.46,-1.27,-1.3,-1.01,-0.77,-0.93,-3.34,-2.26,-2.04,-1.65,-1.69,-1.1,-1.51,-1.21,-0.94,-0.92,-0.26,-0.23,-1.43,-1.01,-0.33,-0.7,-0.59,-0.21
YAH1,heme a biosynthesis,electron carrier activity,YPL252C,-0.56,-0.83,-0.65,-0.21,0.02,0.29,-1.88,-1.72,-2.31,-1.72,-1.29,-0.09,-2.35,-2.01,-1.51,-1.36,-0.82,-0.58,-2.68,-2.44,-2.02,-1.63,-1.68,-0.89,-0.8,-0.97,-0.6,-0.51,-0.26,-0.3,-1.82,-1.1,-0.31,-0.5,-0.16,0.14
SLM5,protein biosynthesis,asparagine-tRNA ligase activity,YCR024C,-0.81,-0.78,-0.86,-0.5,-0.11,0.06,-1.1,-1.16,-1,-0.8,-0.68,-0.29,-0.68,-0.8,-0.6,-0.47,-0.66,-0.6,-1.35,-1.23,-1.31,-0.97,-1.04,-0.68,-0.78,-0.78,-0.75,-0.7,-0.33,-0.3,-1.15,-0.91,-0.43,-0.59,-0.49,-0.26
ATP12,protein complex assembly,unfolded protein binding,YJL180C,-1,-0.57,-0.49,-0.21,0.18,0.13,-1.75,-1.35,-0.56,-0.71,-0.73,-0.69,-1.14,-0.82,-0.68,-1.52,-0.82,-0.95,-1.23,-1.27,-0.94,-0.94,-0.85,-0.81,-1.24,-0.83,-0.73,-0.67,-0.42,-0.29,-1.61,-1.04,-0.6,-0.51,-0.79,-0.51
TOM70,mitochondrial matrix protein import*,protein transporter activity,YNL121C,-0.83,-1.05,-0.42,-0.05,-0.07,0.09,-1.26,-1.14,-0.8,-0.44,-0.38,-0.46,-1.49,-1.28,-0.97,-1.38,-1.12,-1.29,-2.13,-1.39,-1.11,-1.03,-0.8,-0.99,-1.2,-0.87,-0.64,-0.63,-0.31,-0.3,-2,-1.12,-0.68,-0.63,-0.67,-0.6
MRPS28,protein biosynthesis*,structural constituent of ribosome*,YDR337W,-0.78,-0.86,-0.64,-0.42,0.04,0.26,-1.1,-0.94,-0.53,-0.37,-0.49,-0.58,-0.86,-0.75,-0.86,-0.63,-0.54,-0.87,-1.44,-1.11,-0.85,-0.89,-0.61,-0.96,-1.18,-0.57,-0.59,-0.53,-0.25,-0.19,-1.57,-1,-0.46,-0.45,-0.84,-0.61
ATP11,protein complex assembly,unfolded protein binding,YNL315C,-1.06,-1.04,-0.81,-0.33,-0.17,-0.03,-1.15,-0.96,-0.61,-0.68,-0.52,-0.57,-1.27,-1.08,-0.8,-0.95,-0.64,-0.95,-1.01,-1.2,-1.03,-0.88,-0.63,-0.83,-1.21,-0.88,-0.43,-0.44,-0.33,-0.08,-1.45,-1.36,-0.82,-0.39,-1.08,-0.81
MSS116,RNA splicing,"RNA splicing factor activity, transesterification mechanism*",YDR194C,-0.94,-0.84,-0.76,-0.29,0,0.29,-0.87,-0.98,-0.87,-0.56,-0.46,-0.55,-1.32,-1.05,-0.87,-1.27,-0.8,-1.11,-0.95,-0.93,-0.94,-1.02,-0.67,-0.88,-1.23,-0.75,-0.49,-0.45,-0.18,-0.38,-1.71,-1.42,-0.57,-0.63,-0.82,-0.64
MSE1,protein biosynthesis*,glutamate-tRNA ligase activity,YOL033W,-0.65,-0.72,-0.58,-0.25,0.04,0.28,-0.55,-0.97,-0.97,-0.75,-0.56,-0.46,-0.86,-0.82,-0.71,-1.09,-0.65,-0.89,-0.92,-0.78,-0.82,-0.94,-0.6,-0.86,-0.61,-0.6,-0.11,-0.21,0.07,0.14,-1.12,-0.96,-0.41,-0.2,-0.66,-0.28
TCM62,protein complex assembly,unfolded protein binding,YBR044C,-0.54,-0.52,-0.22,0.15,0.26,0.25,-0.69,-0.92,-1.22,-0.95,-0.71,-0.35,-0.71,-0.65,-0.94,-0.95,-1,-0.99,-0.79,-1.05,-0.89,-0.99,-0.79,-0.69,-0.64,-0.58,-0.46,-0.47,-0.15,-0.38,-1.34,-0.94,-0.42,-0.61,-0.61,-0.39
MTO1,protein biosynthesis*,molecular function unknown,YGL236C,-0.81,-0.84,-0.59,0.1,0.35,0.38,-1.45,-1.22,-2.19,-1.66,-1.16,-0.44,-1.97,-1.72,-1.81,-1.74,-1.26,-1.22,-1.7,-1.74,-1.45,-1.25,-1.05,-0.72,-0.82,-1.14,-0.59,-0.59,-0.19,-0.29,-1.14,-1.32,-0.59,-0.68,-0.6,-0.19
MRPL4,protein biosynthesis,structural constituent of ribosome,YLR439W,-1.16,-1.32,-0.56,0.15,0.26,0.05,-1.47,-1.53,-2.31,-2.13,-1.66,-0.84,-2.49,-2.21,-2.21,-2.29,-1.94,-1.5,-2.35,-2.37,-1.9,-1.73,-1.7,-1.34,-1.26,-1.58,-0.74,-0.96,-0.66,-0.77,-1.5,-1.45,-0.82,-0.98,-1.03,-0.69
SCO1,protein complex assembly*,thioredoxin peroxidase activity*,YBR037C,-0.87,-0.94,-0.75,0.02,0.2,0.29,-0.76,-0.87,-1.19,-1.27,-0.79,-0.33,-1.5,-1.17,-1.28,-1.45,-1.09,-1.2,-1.28,-1.3,-1.21,-1.12,-1.01,-0.73,-1.21,-0.78,-0.51,-0.53,-0.23,-0.26,-1.21,-0.82,-0.46,-0.6,-0.49,-0.25
MRP20,protein biosynthesis,structural constituent of ribosome,YDR405W,-0.94,-0.56,-0.34,-0.03,0.02,-0.19,-0.59,-0.85,-1.89,-1.65,-1.19,-0.84,-2.23,-1.8,-1.82,-1.8,-1.21,-1.38,-1.78,-1.89,-1.46,-1.65,-1.25,-1.24,-0.93,-0.75,-0.58,-0.76,-0.47,-0.59,-1.44,-1.09,-0.48,-0.67,-0.96,-0.6
MAS2,mitochondrial protein processing,mitochondrial processing peptidase activity,YHR024C,-0.81,-0.59,-0.45,-0.02,0.08,0.03,-0.79,-0.91,-1.31,-1.46,-1.07,-0.21,-1.91,-1.4,-1.43,-1.16,-0.87,-1,-1.55,-1.39,-1.26,-1.12,-1.06,-0.9,-0.83,-0.39,-0.45,-0.57,-0.28,-0.42,-1.83,-0.92,-0.48,-0.86,-0.81,-0.39
MEF1,translational elongation,translation elongation factor activity,YLR069C,-0.88,-1.08,-0.33,0.3,0.36,0.44,-1.47,-1.57,-1.7,-1.09,-0.9,-0.59,-2.37,-2.2,-1.78,-2.11,-1.37,-1.63,-1.79,-1.82,-1.53,-1.45,-1.05,-1.22,-1.38,-0.88,-0.5,-0.54,-0.13,-0.39,-2.39,-1.59,-0.6,-0.76,-0.99,-0.63
COX10,protein complex assembly*,protoheme IX farnesyltransferase activity,YPL172C,-1.16,-1.07,-0.58,0.08,0.19,0.38,-1.3,-1.25,-1.59,-1.17,-1.05,-0.45,-1.88,-1.72,-1.36,-1.43,-0.87,-0.98,-1.44,-1.42,-1.34,-1.14,-1,-0.76,-1.38,-0.81,-0.41,-0.38,-0.04,-0.26,-1.86,-1.12,-0.54,-0.65,-0.55,-0.32
MST1,threonyl-tRNA aminoacylation,threonine-tRNA ligase activity,YKL194C,-0.73,-0.81,-0.54,-0.02,0.28,0.42,-1.27,-1.2,-1.14,-0.9,-0.76,-0.43,-1.44,-1.19,-0.97,-1.07,-0.65,-0.79,-1.3,-1.31,-0.91,-1.01,-0.83,-0.84,-0.98,-0.6,-0.25,-0.25,-0.04,-0.12,-1.42,-1.02,-0.43,-0.42,-0.58,-0.22
RMD9,biological process unknown,molecular function unknown,YGL107C,-0.9,-0.72,-0.71,-0.27,-0.26,0.14,-0.99,-0.9,-1.04,-0.72,-0.77,-0.47,-0.94,-0.76,-0.62,-1.03,-0.52,-0.43,-1.13,-0.97,-0.83,-0.94,-0.66,-0.74,-0.98,-0.58,-0.45,-0.38,-0.19,-0.14,-1.31,-1.12,-0.64,-0.37,-0.58,-0.41
MRP13,protein biosynthesis,structural constituent of ribosome,YGR084C,-1.12,-1.13,-0.61,-0.3,-0.01,0.07,-1.33,-1.25,-1.32,-0.96,-0.84,-0.67,-1.63,-1.39,-1.01,-1.5,-1.1,-1.27,-0.98,-1.4,-1.08,-1.14,-0.85,-1.11,-1.17,-0.9,-0.62,-0.5,-0.19,-0.13,-1.25,-1.41,-0.7,-0.46,-0.8,-0.55
BCS1,aerobic respiration*,ATPase activity,YDR375C,-1.05,-1.04,-0.91,-0.35,0.06,0.18,-1.7,-1.56,-1.33,-1.34,-0.95,-0.56,-1.53,-1.34,-1.05,-1.2,-0.95,-0.89,-2.12,-2.05,-1.45,-1.43,-1.22,-1.15,-1.34,-1.01,-0.69,-0.76,-0.34,-0.24,-1.82,-1.39,-0.85,-0.71,-0.91,-0.55
MRPL40,protein biosynthesis,structural constituent of ribosome,YPL173W,-1.29,-1.14,-0.82,-0.19,0.21,0.1,-1.79,-1.62,-1.41,-1.23,-0.91,-0.64,-1.56,-1.46,-1.33,-1.36,-1.16,-1.42,-1.89,-1.83,-1.21,-1.26,-1.01,-0.89,-1.38,-0.98,-0.55,-0.53,-0.22,-0.09,-1.53,-1.19,-0.59,-0.41,-0.71,-0.51
MRPL1,protein biosynthesis*,structural constituent of ribosome,YDR116C,-1.03,-1.03,-0.79,-0.24,0.09,0.01,-1.22,-1.31,-1.46,-1.09,-1.13,-0.83,-1.64,-1.25,-1.19,-1.09,-0.89,-1.06,-1.38,-1.37,-1.21,-1.17,-0.92,-0.93,-1.21,-0.8,-0.58,-0.59,-0.43,-0.33,-1.17,-0.95,-0.52,-0.61,-0.89,-0.74
MRPL8,protein biosynthesis*,structural constituent of ribosome,YJL063C,-1.38,-1.28,-0.87,-0.32,-0.12,-0.12,-1.75,-1.75,-2.13,-1.94,-1.32,-1.2,-2.16,-1.66,-1.27,-1.56,-1.11,-1.25,-2.29,-1.96,-1.72,-1.57,-1.32,-1.21,-1.54,-1.13,-0.57,-0.77,-0.76,-0.47,-1.89,-1.47,-0.93,-0.74,-1.18,-0.81
MRPL7,protein biosynthesis,structural constituent of ribosome,YDR237W,-1.46,-1.1,-1.04,-0.51,-0.15,-0.25,-1.76,-1.71,-2.31,-1.81,-1.57,-1.03,-2.06,-1.55,-1.21,-1.29,-0.93,-1.38,-1.78,-1.89,-1.66,-1.57,-1.28,-1.26,-1.7,-1.25,-0.98,-0.86,-0.44,-0.34,-2.16,-1.65,-0.97,-0.78,-1.19,-0.74
YML6,protein biosynthesis*,structural constituent of ribosome,YML025C,-1.15,-1.22,-0.85,-0.42,-0.27,-0.24,-1.36,-1.73,-2.02,-2,-1.41,-0.95,-1.83,-1.63,-1.44,-1.41,-1.11,-0.86,-1.7,-2.03,-1.64,-1.64,-1.43,-1.36,-1.11,-1.26,-0.85,-0.95,-0.69,-0.66,-1.66,-1.45,-0.8,-0.8,-1.09,-0.73
SMY2,cytoskeleton organization and biogenesis,molecular function unknown,YBR172C,-0.78,-0.84,-0.46,-0.18,-0.08,-0.24,-0.68,-0.85,-1.25,-0.84,-0.73,-0.56,-1.12,-0.87,-0.87,-0.72,-0.6,-0.67,-1.35,-1.03,-0.8,-0.7,-0.62,-0.52,-0.56,-0.41,-0.29,-0.45,-0.19,-0.31,-0.99,-0.83,-0.31,-0.36,-0.32,-0.37
,rRNA modification,rRNA (guanine-N1-)-methyltransferase activity,YOR201C,-0.66,-0.4,-0.5,-0.32,-0.22,-0.08,-1.08,-1.16,-1.53,-1.16,-0.86,-0.48,-1.45,-1.26,-1.11,-1.16,-0.71,-1.01,-1.75,-1.52,-1.03,-1.09,-0.67,-0.88,-0.41,-0.25,-0.34,-0.39,-0.42,-0.5,-1.13,-1.26,-0.56,-0.58,-0.82,-0.52
HEM2,heme biosynthesis,porphobilinogen synthase activity,YGL040C,-1.08,-0.96,-0.34,0.07,0.32,0.23,-1.42,-1.42,-1.64,-1.13,-1.14,-0.62,-1.28,-1.07,-0.86,-1.05,-0.74,-0.9,-2.13,-1.61,-0.98,-0.86,-0.71,-0.61,-0.74,-0.51,-0.32,-0.34,-0.15,-0.17,-1.65,-1.21,-0.59,-0.39,-0.52,-0.3
COX18,cytochrome c oxidase complex assembly,protein transporter activity,YGR062C,-0.67,-0.63,-0.32,0.01,0.08,0.2,-0.86,-0.86,-1.25,-1.16,-0.93,-0.4,-1.18,-0.81,-0.66,-0.49,-0.37,-0.49,-1.36,-1.1,-1.07,-0.78,-0.61,-0.37,-0.49,-0.39,-0.13,-0.24,-0.04,0.04,-1.1,-0.54,-0.23,-0.18,-0.29,0.07
MRPL28,protein biosynthesis,structural constituent of ribosome,YDR462W,-0.59,-0.61,-0.43,-0.23,-0.04,0.21,-1.71,-1.7,-1.64,-1.42,-0.93,-0.63,-1.28,-1,-0.86,-0.8,-0.62,-0.53,-1.53,-1.59,-1.02,-1.01,-0.91,-0.72,-0.74,-0.71,-0.39,-0.41,-0.24,-0.31,-1.11,-0.95,-0.68,-0.57,-0.73,-0.5
MRPL3,protein biosynthesis,structural constituent of ribosome,YMR024W,-0.81,-0.92,-0.42,-0.02,0.18,0.46,-1.32,-1.02,-1.16,-0.72,-0.68,-0.26,-1.32,-1.18,-0.74,-0.95,-0.41,-0.55,-1.18,-1.24,-0.85,-0.91,-0.63,-0.91,-0.97,-0.47,-0.02,-0.03,0.07,0.13,-0.92,-1.06,-0.5,-0.34,-0.58,-0.38
MRPL19,protein biosynthesis,structural constituent of ribosome,YNL185C,-0.87,-0.7,-0.68,-0.18,0.17,0.4,-1.41,-1.07,-0.99,-1.34,-1.06,-0.56,-0.99,-0.8,-0.64,-0.48,-0.35,-0.23,-1.34,-1.32,-1.19,-1.06,-1.08,-0.67,-1.06,-0.81,-0.41,-0.52,-0.29,-0.14,-0.44,-1,-0.54,-0.48,-0.66,-0.47
COX23,aerobic respiration,molecular function unknown,YHR116W,-1.03,-0.69,-1.1,-0.53,-0.11,-0.07,-1.72,-1.86,-1.6,-2.02,-1.6,-1.11,-1.78,-1.76,-1.41,-1.18,-0.96,-0.76,-1.33,-1.8,-1.7,-1.62,-1.42,-1.09,-1.84,-1.6,-1.23,-1.18,-0.67,-0.65,-1.1,-1.57,-1.08,-0.96,-1.38,-0.78
,biological process unknown,molecular function unknown,YGR021W,-1.55,-1.38,-1.14,-0.58,-0.22,-0.32,-1.89,-1.73,-1.61,-1.56,-1.17,-1.4,-1.16,-0.89,-0.68,-1,-0.78,-0.99,-1.58,-1.77,-1.65,-1.48,-1.11,-1.25,-0.99,-0.98,-0.88,-0.83,-0.76,-0.61,-0.46,-1.45,-0.74,-0.77,-1.27,-1.16
RSM25,protein biosynthesis,structural constituent of ribosome,YIL093C,-1.59,-1.33,-1.09,-0.66,-0.58,-0.38,-1.77,-2.05,-2.19,-2.1,-1.43,-1.25,-1.75,-1.36,-1.23,-1.46,-1.04,-1.5,-1.55,-2.18,-1.55,-1.58,-1.32,-1.36,-1.25,-0.84,-0.68,-0.77,-0.57,-0.55,-1.05,-0.95,-0.78,-0.64,-1.18,-0.86
IMG1,protein biosynthesis,structural constituent of ribosome,YCR046C,-0.92,-0.79,-0.61,0,0.01,0.03,-1.19,-1.28,-1.79,-1.73,-1.26,-0.98,-1.58,-1.17,-1.03,-1.03,-0.81,-0.79,-1.55,-1.65,-1.4,-1.31,-1.16,-1,-0.99,-0.97,-0.66,-0.75,-0.68,-0.51,-0.63,-0.92,-0.56,-0.78,-0.95,-0.74
RSM7,protein biosynthesis,structural constituent of ribosome,YJR113C,-0.72,-0.68,-0.59,-0.13,-0.08,-0.12,-0.93,-1.09,-1.77,-1.6,-1.33,-1.14,-1.04,-0.68,-0.74,-0.89,-0.77,-1.03,-1.28,-1.59,-1.42,-1.42,-1.2,-1.13,-0.63,-0.72,-0.42,-0.46,-0.51,-0.3,-0.02,-1.03,-0.6,-0.53,-0.91,-0.78
CAF17,biological process unknown,molecular function unknown,YJR122W,-0.1,-0.14,-0.45,-0.3,-0.17,0.28,-1.62,-1.54,-1.38,-1.18,-1.01,-0.66,-1.24,-1.19,-1.2,-1.31,-0.85,-0.82,-1.3,-1.24,-1.01,-1.12,-0.91,-0.97,-0.78,-0.47,-0.46,-0.35,-0.42,-0.49,-1.58,-1.57,-0.95,-0.7,-0.91,-0.68
MRF1,protein biosynthesis*,translation release factor activity,YGL143C,-0.52,-0.8,-0.78,-0.27,0,0.06,-0.64,-0.98,-1.31,-1.24,-1.08,-0.86,-1.1,-1.03,-1.01,-1.1,-0.87,-0.94,-0.82,-1.28,-1.67,-1.55,-1.21,-1.17,-0.7,-0.63,-0.59,-0.57,-0.36,-0.43,-0.97,-1.28,-0.81,-1.05,-1.13,-0.74
,biological process unknown,molecular function unknown,YPL103C,-0.73,-0.5,-0.43,-0.09,0.02,0.19,-0.87,-0.74,-0.59,-0.71,-0.58,-0.45,-0.93,-0.79,-0.53,-0.71,-0.28,-0.65,-0.32,-0.75,-0.54,-0.65,-0.52,-0.66,-0.55,-0.23,0.1,-0.04,-0.08,-0.09,-1.04,-0.66,-0.51,-0.35,-0.57,-0.41
DIA4,aerobic respiration*,serine-tRNA ligase activity,YHR011W,-0.65,-0.75,-0.36,-0.24,0.01,0.16,-0.84,-1.13,-0.94,-0.56,-0.43,-0.68,-0.72,-0.67,-0.69,-1.02,-0.84,-1.34,-0.94,-1.21,-1.2,-1.26,-0.73,-1.1,-0.8,-0.35,-0.31,-0.18,0.01,0.06,-0.8,-1.26,-0.46,-0.28,-0.78,-0.58
SMF1,manganese ion transport,"di-, tri-valent inorganic cation transporter activity*",YOL122C,-0.58,-0.69,-0.55,-0.17,-0.04,-0.18,-1.07,-1.26,-1.19,-1.12,-0.85,-0.62,-0.56,-1,-1.22,-0.95,-1.18,-1.19,-1.54,-1.08,-0.99,-0.91,-0.82,-0.58,-1.11,-0.85,-1.38,-0.9,-0.27,-0.39,-1.8,-0.83,-0.72,-0.67,-0.38,-0.2
SMM1,tRNA modification*,tRNA dihydrouridine synthase activity,YNR015W,-0.3,-0.52,-0.55,-0.58,-0.3,-0.12,-0.92,-1.04,-1.4,-1.26,-0.8,-0.48,-0.93,-0.93,-0.75,-0.79,-0.43,-0.28,-1.76,-1.42,-0.89,-0.95,-0.77,-0.93,-0.65,-0.64,-0.33,-0.24,-0.11,-0.08,-1.32,-1.38,-0.64,-0.58,-0.5,-0.33
LYP1,basic amino acid transport,basic amino acid transporter activity,YNL268W,-0.63,-0.62,-0.44,-0.36,-0.29,-0.21,-0.72,-0.78,-1.45,-1.11,-0.94,-0.41,-1.25,-1.13,-0.98,-0.81,-0.52,-0.47,-1.85,-1.27,-1.01,-0.97,-0.98,-0.67,-0.26,-0.31,0,-0.23,-0.22,-0.2,-1.92,-0.75,-0.76,-0.57,-0.56,-0.34
THR4,endocytosis*,threonine synthase activity,YCR053W,-0.13,-0.4,-0.47,-0.42,-0.21,-0.04,-0.98,-1.1,-1.48,-1.1,-0.74,-0.1,-0.8,-0.92,-0.76,-0.76,-0.25,-0.03,-1.72,-1.33,-0.98,-0.86,-0.89,-0.7,-0.19,-0.06,-0.01,-0.13,-0.36,-0.42,-2.29,-0.7,-0.46,-0.53,-0.26,-0.28
